Prediction	Reference	Freq	Model	Iteration	Variable	Subsample	MinObs	AUC	logloss	Accuracy	AccuracySD
ECC10	ECC10	2	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
ECC2	ECC10	0	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
ECC3	ECC10	0	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
ECC4	ECC10	0	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
ECC7	ECC10	0	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
ECC8	ECC10	0	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
ECC9	ECC10	0	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
ECC10	ECC2	0	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
ECC2	ECC2	2	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
ECC3	ECC2	0	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
ECC4	ECC2	0	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
ECC7	ECC2	0	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
ECC8	ECC2	0	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
ECC9	ECC2	0	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
ECC10	ECC3	0	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
ECC2	ECC3	0	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
ECC3	ECC3	2	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
ECC4	ECC3	0	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
ECC7	ECC3	0	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
ECC8	ECC3	0	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
ECC9	ECC3	0	m1	1	Egg	2	2	0.976829268292683	0.276368523241457	0.56822619047619	0.248855271897679
