Prediction	Reference	Freq	Model	Iteration	Variable	Subsample	MinObs	AUC	logloss	Accuracy	AccuracySD
ECC1	ECC1	2	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC10	ECC1	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC2	ECC1	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC3	ECC1	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC4	ECC1	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC6	ECC1	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC7	ECC1	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC8	ECC1	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC9	ECC1	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC1	ECC10	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC10	ECC10	2	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC2	ECC10	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC3	ECC10	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC4	ECC10	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC6	ECC10	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC7	ECC10	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC8	ECC10	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC9	ECC10	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC1	ECC2	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC10	ECC2	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC2	ECC2	2	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC3	ECC2	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC4	ECC2	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC6	ECC2	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC7	ECC2	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC8	ECC2	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC9	ECC2	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC1	ECC3	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC10	ECC3	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC2	ECC3	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC3	ECC3	2	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC4	ECC3	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC6	ECC3	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC7	ECC3	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC8	ECC3	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC9	ECC3	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC1	ECC4	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC10	ECC4	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC2	ECC4	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC3	ECC4	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC4	ECC4	2	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC6	ECC4	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC7	ECC4	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC8	ECC4	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC9	ECC4	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC1	ECC6	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC10	ECC6	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC2	ECC6	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC3	ECC6	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC4	ECC6	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC6	ECC6	2	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC7	ECC6	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC8	ECC6	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC9	ECC6	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC1	ECC7	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC10	ECC7	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC2	ECC7	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC3	ECC7	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC4	ECC7	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC6	ECC7	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC7	ECC7	2	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC8	ECC7	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC9	ECC7	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC1	ECC8	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC10	ECC8	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC2	ECC8	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC3	ECC8	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC4	ECC8	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC6	ECC8	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC7	ECC8	1	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC8	ECC8	1	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
ECC9	ECC8	0	m1	1	Egg	2	2	0.966614906832298	1.06117157739378	0.479003968253968	0.19410610077063
