Model	Iteration	Variable	Subsampled	MinObs	decay	logLoss	logLossSD	AIC	AUC	Accuracy	AccuracySD	Kappa
m1	1	Egg	2	2	0	0.276368523241457	0.132356515548244	93.7940912459312	0.976829268292683	0.56822619047619	0.248855271897679	0.504731598696707
m2	1	Egg	2	2	0	0.237512323956144	0.145270563936717	98.1348724046526	0.981182795698925	0.55452380952381	0.241256194077461	0.487629470138798
m3	1	Egg	2	2	0	1.14156501458996	0.211624384207746	60.4560801407065	0.885521235521236	0.203690476190476	0.168053521797119	0.126401114009624
m4	1	Egg	2	2	0	0.246935459903008	0.12825606591884	98.7322029977517	0.980487804878049	0.570964285714286	0.252011701289803	0.507799170997855
m5	1	Egg	2	2	0	0.872192106395124	0.212633496955543	66.8961916833635	0.891919191919192	0.304095238095238	0.197903554538948	0.219488364507438
m6	1	Egg	2	2	0	0.517101040170854	0.17530622113685	71.2312317061533	0.949425287356322	0.447357142857143	0.210678280975101	0.370594336567248
m7	1	Egg	2	2	0	0.558388933662392	0.185366385041285	90.6642200269681	0.952252252252252	0.404095238095238	0.216878673583658	0.329481001712014
m1	2	Egg	2	2	0	0.233643209907798	0.123912589360294	93.7940912459312	0.985960591133005	0.574107142857143	0.224572156534797	0.500109102778781
m2	2	Egg	2	2	0	0.275751341370564	0.14803252777469	98.1348724046526	0.972413793103448	0.526904761904762	0.228619523559561	0.451282310738338
m3	2	Egg	2	2	0	1.19288010321735	0.158293990856821	60.4560801407065	0.89040404040404	0.169547619047619	0.148950263412673	0.10209797652686
m4	2	Egg	2	2	0	0.271602452490109	0.117383352943769	98.7322029977517	0.971303258145363	0.573666666666667	0.220118578389441	0.498486054891939
m5	2	Egg	2	2	0	0.882458186655411	0.200433695339301	66.8961916833635	0.901937984496124	0.311047619047619	0.202033490595726	0.23870623913689
m6	2	Egg	2	2	0	0.563257661338009	0.151373690240292	85.6867534981474	0.949583333333333	0.422190476190476	0.203054189606416	0.334275871546835
m7	2	Egg	2	2	0	0.474147286735334	0.144871385276053	90.6642200269681	0.950925925925926	0.46552380952381	0.210879746061206	0.384098921693742
m1	3	Egg	2	2	0	0.12230449948408	0.433268934104141	113.67446493578	1	0.703595238095238	0.257699745926972	0.65677429291139
m2	3	Egg	2	2	0	4.11463007943306e-06	4.23441328689437e-06	106.281362427275	1	0.712928571428571	0.276982629194196	0.666773475848019
m3	3	Egg	2	2	0	1.11329866584552	0.20438228436065	60.4560801407065	0.884730848861284	0.220559523809524	0.181830753283118	0.136505366905879
m4	3	Egg	2	2	1e-04	0.465026129155411	0.517143317712117	84.2574606650717	1	0.585202380952381	0.273362940441387	0.521222640093967
m5	3	Egg	2	2	0.1	1.29868522507169	0.171183662649056	76.0943792035406	0.874285714285714	0.316166666666667	0.178571362834684	0.225374456943482
m6	3	Egg	2	2	1e-04	0.62276851383965	0.673443685452097	87.8190850378868	0.962380952380952	0.626928571428571	0.245008273629507	0.566039636621007
m7	3	Egg	2	2	0	0.227064019463761	0.141291209366135	99.0417436836561	0.986652236652237	0.546345238095238	0.25622303860243	0.477754677338985
