Model	Iteration	Variable	Subsampled	MinObs	decay	logLoss	logLossSD	AIC	AUC	Accuracy	AccuracySD	Kappa
m1	1	Egg	2	2	0.1	1.06117157739378	0.301923382494071	164.070651829004	0.966614906832298	0.479003968253968	0.19410610077063	0.422719179873103
m2	1	Egg	2	2	1e-04	0.816965944952034	0.690926704269404	181.380072738427	0.97312925170068	0.53568253968254	0.222437284844947	0.482971124043039
m3	1	Egg	2	2	0.1	1.83674358142769	0.20266987151972	135.15146021015	0.844238095238095	0.152757936507937	0.130395548907129	0.0975220983137178
m4	1	Egg	2	2	0.1	1.52894626742485	0.298469656373023	137.68192728113	0.914596273291925	0.363972222222222	0.169780452990222	0.307660300426335
m5	1	Egg	2	2	0.1	2.13610676204187	0.368012989804962	135.358976705054	0.753364389233954	0.148642857142857	0.122864460962075	0.106141449585158
m6	1	Egg	2	2	1e-04	1.19606622513298	0.445769805456547	143.131290388488	0.944786535303777	0.337099206349206	0.166053048776907	0.263369462789123
m7	1	Egg	2	2	1e-04	1.16792868014898	0.635249659451682	117.639556784633	0.91733630952381	0.307234126984127	0.149134510769012	0.24108505233925
m1	2	Egg	2	2	1e-04	0.716243493209106	0.451081085105146	165.746216007995	0.981349206349206	0.477507936507936	0.216163269581067	0.416838600827416
m2	2	Egg	2	2	1e-04	0.436220944139272	0.21127828373644	177.879102015059	0.988539682539682	0.498015873015873	0.201638417188685	0.440325600587681
m3	2	Egg	2	2	0.1	1.56776395657665	0.175937607442524	145.406347079053	0.918857142857143	0.193424603174603	0.140327319109347	0.138153770798578
m4	2	Egg	2	2	0.1	1.21536858015698	0.257256876318539	165.844737124433	0.963238095238095	0.42209126984127	0.180708376400718	0.361604153022433
m5	2	Egg	2	2	0.1	1.88071248294877	0.331148781792284	133.042824187727	0.839285714285714	0.195670634920635	0.128369245626348	0.13845732721593
m6	2	Egg	2	2	0.1	1.54387387366503	0.283349240817329	151.689203037416	0.860651629072682	0.289900793650794	0.137913918886852	0.230259209586922
m7	2	Egg	2	2	1e-04	1.11812246105167	0.616175273488232	117.639556737342	0.921018062397373	0.331865079365079	0.145444175798542	0.266332029653347
m1	3	Egg	2	2	1e-04	0.875236684776066	0.581630349850792	180.029472485602	0.970859213250518	0.499980158730159	0.191914383455219	0.437773918161245
