Relationship	Egg	Line	Match	Unmatch
First Degree	E1	Maternal	1	0
First Degree	E1	Paternal	33	1
First Degree	E10	Maternal	1	0
First Degree	E3	Maternal	1	0
First Degree	E4	Maternal	1	0
First Degree	E6	Maternal	52	0
First Degree	E6	Paternal	24	0
First Degree	E7	Paternal	1	0
Second Degree	E1	Maternal	1	0
Second Degree	E1	Paternal	5	1
Second Degree	E10	Paternal	1	1
Second Degree	E6	Maternal	28	0
Second Degree	E6	Paternal	30	0
Third Degree	E1	Paternal	11	0
Third Degree	E10	Paternal	1	10
Third Degree	E4	Maternal	1	0
Third Degree	E4	Paternal	0	6
Third Degree	E6	Maternal	26	0
Third Degree	E6	Paternal	38	0
Unrelated	E1	Paternal	243	120
Unrelated	E10	Paternal	12	319
Unrelated	E11	Paternal	0	57
Unrelated	E2	Paternal	1	0
Unrelated	E3	Paternal	5	0
Unrelated	E4	Paternal	4	206
Unrelated	E5	Paternal	1	2
Unrelated	E6	Paternal	1546	1
Unrelated	E7	Paternal	5	8
Unrelated	E8	Paternal	1	0
